wind_mw,solar_mw,storage_mwh,import_mw,demand_mult,unserved_mwh,curtailment_mwh,renewable_share_pct,operational_cost_eur,capex_eur,total_cost_eur
1613.6983612391837,1593.1287362999499,1717.1958398227648,697.368029059364,0.9565064087325897,0.0,57752.6,35.67,202622113.0,153399398.0,356021512.0
2034.172603162636,2762.937118224981,1572.1286105539077,128.1136326755459,1.1702315627373403,0.0,344509.1,40.38,229712801.0,246090896.0,475803697.0
773.1138805249319,3364.1569095204245,1287.730240161329,822.76161327083,1.1660485192963987,0.0,504344.2,31.39,263465887.0,151413855.0,414879742.0
473.7927349212598,2013.1427768674803,127.63451220835064,827.631171992582,1.2789986394732389,0.0,17770.9,19.92,337838703.0,43578448.0,381417151.0
1580.6129380780044,1286.9292643114222,1941.3960487898066,893.1211213221977,1.3670300982442571,0.0,0.0,22.94,347850952.0,141619724.0,489470675.0
405.8217058713524,1694.197243529134,87.60753157445755,154.28949206754783,1.3098293719454728,9115.2,820.3,16.57,360391591.0,26580582.0,386972173.0
1552.8290950677988,3512.0603287361823,651.6507162763039,370.4597060348689,1.1817334867654847,0.0,637658.7,38.56,239061917.0,212294849.0,451356766.0
395.0477836907357,471.61506436776205,951.4098524518674,226.90934905088412,1.3018883968095063,3565.2,0.0,7.17,398930997.0,27498300.0,426429297.0
911.4617508488096,3022.62185168995,1400.5302040044983,312.36664138204105,1.3993558808371207,3357.5,198348.9,27.52,335467800.0,150472108.0,485939908.0
1677.9336853808318,1406.5465158795332,576.6562078604882,682.4955039749755,0.9838514901655859,0.0,25099.8,33.94,213976361.0,117092763.0,331069123.0
416.80860216060086,26.72503919615001,1573.8487550042769,664.8508565920322,1.323099227175801,0.0,0.0,3.88,420466630.0,45488457.0,465955086.0
1627.8200296808031,1665.864265204174,1137.4823919057874,139.79699812765745,0.9687180441215841,0.0,69489.3,35.99,204159502.0,141559215.0,345718716.0
1393.6201753331334,1710.079228299571,1130.4722129623776,764.9988574160255,1.2808309920003544,0.0,8302.5,26.01,312336149.0,121950442.0,434286591.0
1154.2130503719213,2029.921993505851,607.9001961252244,30.817834567939407,1.1620304335394174,687.1,59647.9,28.48,273609926.0,100649767.0,374259694.0
447.4090428287184,1482.9589767204293,1706.8061465363323,233.93948586534074,0.9349816450134396,0.0,14926.4,21.28,242335561.0,62888260.0,305223821.0
586.6854148658628,1065.7453406930615,1323.83302945379,557.0321523412783,1.370338925463848,0.0,0.0,12.79,395564618.0,38262331.0,433826949.0
1385.093731582603,1475.184307027456,1628.0407693320692,166.9729199077039,0.9136272438803164,0.0,40819.6,33.35,200512016.0,123878586.0,324390602.0
187.74978971721305,2622.1644426651146,923.7544605027748,161.2717790336018,1.2006268650620182,456.4,152548.9,22.15,307871728.0,96836561.0,404708289.0
317.5707341569562,2527.6429615321817,892.3125511480614,381.02122609648245,1.0809072534887258,0.0,197386.7,24.63,268216087.0,91233234.0,359449321.0
1314.1392066528824,1313.3797763088073,175.299838632202,118.00590212051532,1.4771385987297088,77814.5,0.0,19.3,391191772.0,67309453.0,458501225.0
1894.3907401253607,2539.9368957330207,531.7399229190391,969.1763773477239,1.3672505423794767,0.0,124902.9,33.69,299264583.0,192051952.0,491316535.0
1494.7160443965058,1631.182252781953,544.483123690318,96.39096215349929,1.441561437926305,55638.7,1128.0,23.44,362237045.0,110420130.0,472657175.0
950.293564303079,734.579014206686,611.913248301305,579.219568941896,1.006063669763539,0.0,0.0,18.35,270428775.0,41233754.0,311662529.0
1786.040782332603,2753.4258933018127,1438.9259119018736,432.0930397751037,1.276385304421466,0.0,237196.6,35.7,270420396.0,218881358.0,489301754.0
1217.8442651830537,2358.9431636439967,168.88864227977817,415.80740217060963,0.9249685043171355,0.0,313801.4,36.81,192437301.0,110171785.0,302609086.0
1029.970858124822,1197.3962007680107,289.0483777320938,103.40296772255164,1.2525867433066273,3743.7,0.0,19.18,333369447.0,39251382.0,372620828.0
355.68633939940753,3358.1860297077737,1162.12227940079,346.86980453483704,1.2545492948888501,0.0,389525.9,26.35,304581201.0,140281810.0,444863011.0
47.546071096919285,3479.5699440664466,964.6068738858005,782.7352272502862,0.9496379999534632,0.0,729782.0,27.94,225303152.0,140601825.0,365904978.0
1014.6826197975644,1781.2663895069109,1875.6529099499658,571.7280523760754,1.1840936406341722,0.0,16569.0,24.91,292813144.0,112071283.0,404884427.0
556.644257546598,1203.5954603534644,1041.3448049430756,438.91146030504666,0.9129672479281983,0.0,1631.9,20.31,239550221.0,30097662.0,269647883.0
