from_bus,to_bus,path_length_km,voltage_kv,connection_type
sub_1318762020,sub_34988523,17.88,110.0,synthetic_nearest_neighbor
sub_34988523,sub_34988517,6.55,110.0,synthetic_nearest_neighbor
sub_34988517,sub_34988518,8.13,110.0,synthetic_nearest_neighbor
sub_34988522,sub_35022081,7.21,110.0,synthetic_nearest_neighbor
sub_35022081,sub_35022082,9.51,110.0,synthetic_nearest_neighbor
sub_35022087,sub_35022100,18.01,110.0,synthetic_nearest_neighbor
sub_35550410,sub_35450940,18.37,110.0,synthetic_nearest_neighbor
sub_35450940,sub_743155118,16.61,110.0,synthetic_nearest_neighbor
sub_743155118,sub_35450914,15.17,110.0,synthetic_nearest_neighbor
sub_35450919,sub_263962720,19.42,110.0,synthetic_nearest_neighbor
sub_35445361,sub_768781614,0.2,110.0,synthetic_nearest_neighbor
sub_263962720,sub_35450930,6.03,110.0,synthetic_nearest_neighbor
sub_768781614,sub_1226694590,8.99,110.0,synthetic_nearest_neighbor
sub_1226694590,sub_35450872,19.35,110.0,synthetic_nearest_neighbor
sub_35445346,sub_35420117,20.01,110.0,synthetic_nearest_neighbor
sub_34685113,sub_35450869,9.87,110.0,synthetic_nearest_neighbor
sub_35420117,sub_35394600,15.08,110.0,synthetic_nearest_neighbor
sub_262457166,sub_35420119,15.2,110.0,synthetic_nearest_neighbor
sub_35420119,sub_35594741,12.12,110.0,synthetic_nearest_neighbor
sub_35594741,sub_552646579,3.12,110.0,synthetic_nearest_neighbor
sub_181771660,sub_263043288,3.23,110.0,synthetic_nearest_neighbor
sub_181771660,sub_733916636,11.0,110.0,synthetic_nearest_neighbor
sub_263043288,sub_35451772,17.78,110.0,synthetic_nearest_neighbor
sub_34685113,sub_182774903,18.36,110.0,synthetic_nearest_neighbor
sub_35445334,sub_35445340,3.14,110.0,synthetic_nearest_neighbor
sub_35445340,sub_182242759,11.34,110.0,synthetic_nearest_neighbor
sub_552646579,sub_36977398,19.96,110.0,synthetic_nearest_neighbor
sub_35367472,sub_263282451,21.27,110.0,synthetic_nearest_neighbor
sub_35445334,sub_35594687,25.54,110.0,synthetic_nearest_neighbor
