from_bus,to_bus,path_length_km,voltage_kv
sub_139400061,sub_180118919,130.16,110.0
sub_139400061,sub_290177759,54.57,110.0
sub_139400061,sub_1473331965,141.71,110.0
sub_139400061,sub_263282453,127.2,110.0
sub_180118919,sub_205980356,95.1,110.0
sub_180118919,sub_290177759,109.41,110.0
sub_1473331965,sub_180118919,196.55,110.0
sub_180118919,sub_263282453,182.04,110.0
sub_181771660,sub_552646579,52.85,110.0
sub_182242759,sub_263253461,15.57,110.0
sub_182774903,sub_263235177,21.16,110.0
sub_205980356,sub_290177759,14.39,110.0
sub_1473331965,sub_205980356,101.53,110.0
sub_205980356,sub_263282453,87.02,110.0
sub_1473331965,sub_263282453,14.65,110.0
sub_263282453,sub_290177759,75.87,110.0
sub_1473331965,sub_290177759,90.38,110.0
sub_1318762020,sub_1533002864,0.33,110.0
