id,name,voltage_kv,latitude,longitude,operator,data_quality
sub_35022100,Leisi alajaam,110.0,58.56643614444439,22.689945022222204,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35343343,Paide alajaam,330.0,58.87714172941167,25.530242382352984,Elering,assumed_network_credible_reconstruction
sub_35343350,Aravete alajaam,110.0,59.133478499999946,25.742941914285673,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35343353,Koigi alajaam,110.0,58.831684139999865,25.761361439999966,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35367472,Alutaguse alajaam,110.0,59.202484641666594,27.40072218333329,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35367480,Sirgala alajaam,110.0,59.309056754545324,27.75296169090907,Elering;VKG Elektrivõrgud,assumed_network_credible_reconstruction
sub_35367481,Allika alajaam,110.0,59.39419003333319,27.718913566666643,Elering,assumed_network_credible_reconstruction
sub_35367491,Aidu alajaam,110.0,59.34130152666662,27.06288639333333,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35367492,Roela alajaam,110.0,59.173007049999796,26.589634089999983,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35379710,Kohila alajaam,110.0,59.167793399999894,24.743849299999997,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35379726,Kehra alajaam,110.0,59.35588530000002,25.32141294285712,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35384058,Raasiku alajaam,110.0,59.3721762285715,25.194514742857113,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35384064,Tapa alajaam,110.0,59.256274657142875,25.974248257142857,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35384083,Kuusalu alajaam,110.0,59.44731077777775,25.42722181111115,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35394600,Otepää alajaam,110.0,58.06742538749999,26.499209749999995,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35420117,Maaritsa alajaam,110.0,58.15395538333334,26.696807683333343,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35420119,Elva alajaam,110.0,58.238023953333396,26.415189359999985,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35445334,Võru alajaam,110.0,57.85697423333335,27.025826400000003,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35445335,Mõniste alajaam,110.0,57.623286887499994,26.599007587500004,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35445340,Soo alajaam,110.0,57.828883200000014,27.02088125714287,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35445346,Kuuste alajaam,110.0,58.30648688000002,26.878255480000018,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35445348,Tõrva alajaam,110.0,58.00954782500003,25.89290466250001,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35445352,Nuia alajaam,110.0,58.093508433333334,25.567684299999982,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35445361,Kilingi-Nõmme alajaam,110.0,58.15755865384621,24.983652961538453,Elektrilevi,assumed_network_credible_reconstruction
sub_35450869,Valga alajaam,110.0,57.7932361,26.04559401428572,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35450872,Abja alajaam,110.0,58.13029488888888,25.386605099999997,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35450875,Kabli alajaam,110.0,58.3445216636364,24.7038845,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35450914,Pärnu-Jaagupi alajaam,110.0,58.596512074999985,24.49567834166667,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35450919,Audru alajaam,110.0,58.40802354285726,24.31140942857142,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35450920,Lõpe alajaam,110.0,58.54531716666664,23.997048400000022,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35450930,Sindi alajaam,330.0,58.429018380000116,24.67054859333333,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35450940,Vändra alajaam,110.0,58.65856855000023,25.025358175000008,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35451761,Türi alajaam,110.0,58.820963487500094,25.449220587500008,Elektrilevi,assumed_network_credible_reconstruction
sub_35451772,Suure-Jaani alajaam,110.0,58.53092389166675,25.50021224166667,Elering;Elektrilevi,assumed_network_credible_reconstruction
sub_35451774,Jõgeva alajaam,110.0,58.74635090000004,26.41853758333336,Elering;Elektrilevi,assumed_network_credible_reconstruction
